STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
  -87.137278      6.327745    61.139443
 -101.637115    -19.253767    54.390957
  -92.664342    -75.435536    18.046119
  -36.554559    -80.247419  -101.705203
    8.201198    -43.048885  -127.301528
    9.762799    -24.484571  -152.153046
    1.707652     -3.300438  -112.302207
   25.731981     15.671882   -65.494721
    4.935064     20.476748   -38.418137
  -40.412433     57.579648   101.507177
  -37.422548    112.583394   137.632678
  -63.513159    110.753080   134.650330
  -89.651848     89.494362   189.791552
  -67.093485     45.632062   101.803176
  -37.161631      3.774454   -37.760128
   25.573196     -0.525211  -119.294458
   70.233059     -2.005211   -94.849388
   69.429259      1.328231   -49.156514
   72.195390     -7.691839   -74.743224
   69.316732     14.847813   -76.613559
   45.430138     26.106204  -101.038878
   14.480346     14.007370   -30.482273
    8.836338     62.548236    59.565108
  -14.370418     42.929601    43.571757
  -55.241794    -20.829401   100.440122
  -27.536567    -11.800235    57.947373
   32.453440    -43.823578   -30.531130
   77.114602    -69.036065   -12.098574
  104.374140    -36.274151     9.713942
   79.509628    -34.931887    75.929822
   56.070282    -50.380535   104.031622
   53.393029    -61.995997    77.133053
  -16.206190    -46.767725    52.830655
  -63.945594     -2.603448    -3.798622
  -29.634814     38.830561   -10.300485
  -45.218078     31.737219    48.788009
  -78.734675      2.311866    49.382087
  -53.776607     -1.802507    -3.108389
  -38.642411    -17.283640   -53.777127
  -71.335977    -35.271546   -76.771044
  -84.917668    -49.269041   -92.844177
  -72.370287    -44.837358  -132.936181
 -100.579676    -34.171746   -93.458266
  -86.712899    -61.422709   -34.084428
   -7.018238    -76.131227   -15.700729
   18.347056    -36.614071     4.638025
   -3.526531    -33.277770    34.515044
  -24.343978    -45.568652    62.810192
  -46.473284      3.493267   -15.063510
  -64.242114     11.315824   -21.157886
  -83.630498     41.446483    45.573590
 -103.309683     95.561191    27.319050
  -92.689290     83.090993    90.500866
  -68.362724     96.557559    88.413274
  -88.897945     92.541940    -0.344597
 -136.541975     56.216853    24.871528
 -149.349233     31.262943    17.065603
 -151.170451     35.058707    -9.280208
 -149.921482     99.898798    34.819620
  -77.036898    164.388835    66.124143
   47.819967    185.523851    64.716130
  196.852669    108.748129    66.348417
  329.581209    -20.960899   118.170750
  363.552071    -81.967285   138.654255
  344.121847   -134.566130    80.676216
  333.192979   -185.320628     6.948071
  337.053972   -184.333355   -91.362098
  311.911652   -198.818899  -150.239571
  222.119990   -226.537120   -80.910625
  144.601020   -202.283579    -5.091510
   97.484021   -124.912999   -32.022564
   49.130007    -42.760941   -53.755038
   38.623959     31.154834   -27.106990
    4.064476    102.670386    47.487324
 -117.195171    157.422312   101.917262
 -188.565972    197.563173    57.664887
 -171.504267    211.825743    17.281820
 -197.705326    187.430309   -57.014935
 -244.578821    114.921508  -142.971072
 -202.505514      9.561395   -81.363591
 -130.931490    -56.293256    -0.791325
  -80.308230    -93.121985    68.884817
   15.324167   -132.921628   177.940381
  139.796414   -131.731132   116.144749
  196.848252   -106.166511     7.035390
  192.191516    -38.472191     1.714409
  193.164235     43.362037   -33.109109
  158.278866     54.846261   -59.403204
  107.290999     31.488776   -83.653367
   96.410989    -16.567159   -76.040790
  111.143416    -37.936065   -30.348956
   83.891414    -27.238488    -3.813435
  -52.993338    -64.222883    64.130367
 -216.937004    -92.495942    82.290832
 -353.805384    -78.863054    48.194450
 -423.363542    -51.053356    38.540279
 -408.942967    -29.714076     4.870095
 -384.202677    -60.239748     3.039781
 -323.203048    -74.916562    27.999668
 -156.013259     29.132991   -42.125542
   40.986501    160.678571   -79.896585
  168.903158    237.572277    38.888514
  244.197321    251.506102   128.268271
  218.874906    184.557369   132.538829
  155.323285    124.544493    94.036233
  147.470582     93.568194     4.377368
  136.445820     68.461217   -73.103140
  135.695295     69.382481  -102.073968
   94.773504     72.428240  -142.600487
  -19.000907     70.258007  -170.472295
  -81.641139     27.625445   -78.250264
  -44.950925    -18.887860     6.762519
   10.403656    -25.474443    46.311121
   -7.827235    -86.664821   114.959709
  -82.877894   -186.205769   121.363599
 -105.944836   -251.011036    50.284120
  -86.046834   -226.244498   -11.077517
 -101.037579   -119.878142   -89.064266
 -147.079727    -77.705822  -156.696475
 -126.269037    -31.497092  -140.174795
   19.019618     52.370933  -124.670014
  141.731199     57.671124   -63.366069
  174.525337     70.947461    19.078870
  145.076335     35.522587    63.596060
   62.674016    -41.390350   105.770979
    2.471430    -43.927529   125.573346
  -12.207462    -84.574111   137.206480
  -19.754550   -120.327469   116.023906
   -6.088398   -116.165019    74.476070
   27.450028   -118.545232   -26.729649
   -2.528603   -121.580076  -103.178186
  -13.888087   -127.440822  -120.312396
    2.097727    -74.857050  -145.297231
  -25.787595    -12.451747   -59.337456
    8.350368     70.690182    14.729049
   28.604402    190.002052    26.502516
    0.710244    253.394888    50.922898
   -6.198586    274.004174     3.173878
  -75.716463    218.143353    11.891712
 -175.407619    101.374899    67.403258
 -180.832292     -1.943620    55.791434
 -111.614833    -91.703057    97.500913
  -11.539318   -140.864769    77.715957
  113.151485   -116.246101   -47.061906
  178.592932    -37.340427   -97.049766
  153.866415    -19.629289   -92.620683
   77.721155    -84.663249   -63.288625
   36.491928   -137.887098   -24.059673
   26.307868   -150.899399     6.601915
  -36.113807   -131.819230     8.034097
  -18.071587    -61.415692    10.770602
  124.328015     46.051764    49.458491
  196.938429    135.638902     2.891651
  133.879535    212.727776   -67.594527
   62.287579    267.402518   -70.478123
   43.305384    259.905067   -77.860189
   77.838359    149.286343   -50.992285
  121.718850      7.993297    13.246710
   87.693675    -68.278264    67.486678
   37.103159    -91.358460    86.640133
   27.343478    -67.728884    37.737779
   27.547222    -52.643804     9.215758
  -36.087560    -38.863826    27.361670
  -98.410222    -62.512893    25.163370
  -78.261439   -133.883433    50.498779
  -73.182922   -136.566923    64.886349
  -66.449250   -131.692930     3.207402
 -104.315927   -133.897466   -29.658723
 -175.645147   -109.388466   -39.554059
 -166.805431    -56.599651   -40.095123
 -139.649844     40.077711     9.649493
 -116.429574     54.675522    41.083175
 -104.809693     27.610112    33.202145
  -65.785004     58.608760    -7.610758
   20.067702     80.580321     0.883322
   49.077771    117.647357    46.707953
   33.377302    169.244117    48.396634
   61.587471    172.204376    71.018147
   78.478436    146.728893    52.976706
   28.952117    127.899245   -28.262144
    1.407494    109.947462   -90.961108
   -3.752364     88.375592  -115.672292
  -46.494334     76.895265   -55.682286
 -111.021014     80.636195    20.265988
 -111.479177     44.440007     5.191563
  -40.413732    -60.442712   -65.377517
   -1.131764   -152.388494  -119.279645
   -2.351367   -210.412532   -90.049460
   -9.487849   -236.228453     6.726137
    4.332409   -221.842182    29.626498
   36.747128   -172.253752   -40.182442
   71.217473    -68.777747   -65.991866
  106.511888     50.443945   -52.025556
  127.340510    110.865347     7.241473
  143.331001     99.874369   102.967945
  167.156005     87.692115    70.643664
  131.865748     43.501071    14.656543
   41.564208     -6.913768    23.670637
   19.196594      7.063717   -34.638745
   23.450261      5.843074   -60.744949
  -25.867897    -27.759541   -12.761520
 -102.881666    -78.877347   -20.814588
 -110.813112   -112.991921   -18.770136
  -26.876999   -128.261254    23.261590
   29.890273   -112.832876    44.822805
   13.948378    -54.979058    95.269609
  -12.449668    -19.670610    94.921634
    5.496658     15.621466    42.945974
  -17.225167     55.276877    51.171600
  -51.891720     57.611612    52.480601
  -55.586391     35.349509    62.777188
  -74.580281     59.548736    60.825251
  -48.024490     98.198942     6.807998
  -36.250762    103.190140   -38.382014
  -49.633648     66.725499  -108.288147
  -61.187260     -9.654431  -159.156471
  -92.296096    -31.157173  -147.188356
  -71.959681    -24.593200   -94.241535
   32.144186     -0.392154    -3.543163
  147.047242     54.376404    67.105439
  157.226884     99.140737    87.148193
  117.152552    143.089576    72.341701
  113.543640    162.330869    13.028933
  128.373261    160.521345   -61.487678
  150.072990    139.114237   -71.096370
  162.161429     80.105006   -36.529611
  149.958644     -5.394787    -7.877652
   94.030255    -53.474890    -0.011954
   31.508007    -85.655719    -6.891938
   17.796377   -174.558082     6.484971
    9.409107   -232.795738     5.121396
  -44.952744   -244.612085    24.516796
  -80.451942   -202.544755    74.440727
 -106.643386    -74.177212    62.808113
 -175.922696    -13.754510    45.386998
 -197.412964    -19.415411    29.599730
 -160.541096     12.034644   -22.534974
 -120.533291     34.408494   -71.528545
 -104.724194     41.906985   -95.711660
  -94.033634     32.158479   -45.206904
  -42.359691     -6.139854    35.467233
   -1.767683    -52.010483    87.524754
   10.493314    -85.561644    95.760776
   11.492281    -96.954911    11.729808
   -0.135396    -99.147234  -104.334898
   11.857928    -71.188366  -125.733690
   36.192290    -17.526625   -60.861634
   -4.067335     18.606414    31.005145
  -70.696939     38.233884   103.972890
  -81.826431     68.901189    66.498626
  -89.262552    125.817111    -0.699329
  -78.555100    193.255452   -37.700356
  -65.709120    230.211261   -71.799337
  -78.641119    224.969542   -70.203693
  -32.781924    165.724862   -36.733094
   41.413219     68.325302    16.555984
   85.782019     18.939316    31.762687
   75.420204      3.092536    47.807493
   52.357419    -21.945313    48.167942
   49.968110    -20.902687     4.235735
   50.504756    -24.666225     1.016379
   64.859062    -57.046900    12.284386
   66.673004    -90.097537    41.149964
   67.464329   -125.545279    53.792460
   84.300720   -130.580396    33.938637
  111.108072    -77.583420    15.958267
   91.656799     -9.686915    -8.155720
   30.311014     21.111888    18.708025
   -3.740929     20.207516    45.027588
  -12.118844     17.400065    12.564273
    5.785642     17.724651   -41.958441
    9.667165     33.200846   -78.916849
   13.972287     52.910957   -65.390251
   38.594333     67.983563   -44.741464
   39.256500     76.729724   -29.395207
   12.702788     90.366769   -15.710084
  -24.761340    116.306912     0.406708
  -28.389223    125.710561    41.883596
   -4.492234    121.973010    67.074254
   -9.791905     51.296861    69.671464
  -50.765153    -55.156814    51.128721
  -77.850573    -89.180951   -18.202045
  -77.486226   -100.287574   -61.421409
  -76.775982   -114.776496   -62.389971
  -73.888489   -141.431041   -58.804448
  -39.323288   -128.895094    -9.662227
    8.458477    -29.602849    23.683111
   -2.584997      8.179629    28.841409
  -13.223062    -11.459536    39.696732
   19.399818    -30.149890    29.229406
   30.519695    -70.591429    26.821905
   45.997969    -60.948953    19.497272
  102.345020    -33.152769    16.716588
  128.346493    -40.733381    47.261491
   76.864860    -55.471785    47.246418
   24.057594    -53.246458     7.307221
    2.094609    -26.209115   -36.643437
   -1.372930    -17.267267   -70.433684
    0.022609    -23.236122   -50.558551
   -7.248489     -6.243285   -19.841869
  -11.729029     28.122070   -13.402377
  -14.783103     37.649940     5.404402
    1.031192     -2.331357     2.333695
   12.462142    -42.389057    -8.228226
   19.155534    -39.075106   -24.224175
   25.971848     -6.732114   -55.129527
  -10.500330     30.015014   -44.403884
  -65.998883     27.228613    -6.191570
  -93.193971    -17.312746    29.149104
  -64.680267    -34.023097    56.251416
  -17.628496    -18.275330    66.882724
   15.190330     17.515190    62.229367
   59.088233     72.255681    32.877039
   79.272880    120.680902   -20.569005
   72.103913    161.029924   -63.209883
   53.653946    174.169046   -87.111810
   15.386797    155.777031   -75.982837
   -2.985987    131.620684   -30.965644
   -1.636445     92.987889    19.094203
    2.801474     44.390370    67.808406
    2.781464      7.282273    93.822614
  -14.408101    -24.114766   119.227929
  -42.695712    -42.184534   111.886664
  -79.450116    -78.511700    90.739173
  -95.550536   -111.605217    74.999463
  -96.607975    -93.904995    -2.849032
 -114.150193    -81.741452   -53.950985
 -116.138512    -62.481967   -69.978379
  -93.805982    -34.049864   -99.852540
  -82.449097    -13.347543   -99.724940
  -65.256154     -8.034617   -63.081244
  -27.015514    -61.754312   -10.887807
   -2.050170   -138.954153    33.214619
   24.122823   -193.926454    77.527546
   73.842750   -189.828714    78.865393
  103.932609   -142.769147    35.913702
   92.039078    -76.021299    19.503769
   76.845369      2.503135     6.932739
   54.017513     46.724845   -26.895710
    5.668697     61.496514   -60.606175
   -7.987320     66.248624   -67.295929
    2.043153    107.552695   -47.180669
  -18.879025    149.649391   -31.335449
  -50.681732    144.353877   -18.907871
  -71.373399    151.556628   -14.910443
  -85.089187    125.022927   -14.575461
  -97.364997     48.941336    14.057007
  -92.414340      4.462608    19.548987
  -80.581361    -26.233024   -16.582232
  -62.863986    -43.646602   -37.584711
  -12.272951     -6.068128   -47.400006
   33.771536     41.393988   -34.866398
   51.317391     67.828157     0.606033
   76.046247     89.441347    39.765599
  100.457273    110.968519    47.357646
  109.304006    120.013537    16.141220
  140.047715    106.065679    11.293475
  179.632440     56.086134    -6.204044
  172.750377    -48.870649   -30.284246
  126.027091   -145.949262   -16.310400
   87.166644   -185.465899   -20.697644
   64.896484   -197.072006   -24.300059
   22.282634   -172.650324    -1.804586
  -35.511672   -100.344487    26.623879
  -69.219798    -22.417770    62.369700
  -52.091825     38.086534    74.601591
  -20.705700     52.329612    48.840244
  -36.134597     10.100899     4.170506
  -39.668925    -48.244606   -62.485865
  -14.082215    -97.990261   -88.789056
  -21.820832    -79.219345   -30.970322
  -24.761600    -23.706760    12.997748
  -25.440139     22.356699    22.398799
  -39.890600     79.062899    38.049111
  -52.984762    102.851780    11.353506
  -88.845189     70.727345   -22.289131
  -80.806414     -6.839183   -26.548774
  -43.875814    -46.120631   -37.108097
  -47.825684    -18.206983   -12.218637
  -53.696305     25.842169    14.930453
  -22.424786     61.274579    -4.004964
   58.670351     51.882884   -24.513418
   99.118127     14.860806   -25.114773
   74.542599    -10.916133   -20.373577
   47.511233    -17.656043   -34.976586
   38.989606    -27.148571   -34.900182
   58.663075    -24.166222   -20.202318
   26.979131      6.646874   -21.285486
  -51.766719     31.416011   -21.680758
  -85.021879     51.139376   -29.681852
  -85.628952     67.823999   -25.825277
  -93.590803     72.928503    13.528157
  -93.115748     72.687857    72.432138
  -45.843342     45.435855   113.846137
   24.946373    -19.981683    99.544326
   57.905014    -56.763634    56.336656
   36.574049    -45.507061     3.236508
    0.525991    -45.228213   -37.798070
    4.340985    -56.776108   -33.488790
   43.038750    -80.283802   -10.454852
   79.761709    -90.234232    16.730881
  103.993680    -47.883117    17.918779
  122.668701    -21.101753    -9.541384
  148.707337     -8.405722   -20.999621
  143.972378     30.594799   -23.328639
   84.084763     52.050504   -19.149037
   11.331677     52.227221    -3.750025
  -53.210855     38.779626    10.167428
 -111.122626      4.034850    17.145645
 -178.650884     -5.844634    18.366027
 -220.487703     14.207995     7.460029
 -202.297612     -5.898688   -11.077777
 -148.412896    -19.677886   -18.228293
  -51.120924     24.654271   -20.984548
   13.983202     52.110536   -22.578634
   -4.224561     41.129174   -13.979823
  -16.999854     16.412792     6.827229
   -4.268220      7.895323    42.900235
   -0.194908     10.742536    70.147559
    6.230811      3.614889    72.201887
   52.853005     -2.693625    62.223130
  109.699019    -24.799802    35.700083
  130.218388    -39.218818     1.701155
  119.228709    -28.550087   -11.004751
   74.356267    -15.216318    -2.524445
   35.688908      2.048610     7.146877
   17.167994     27.789427    14.274004
   21.015733     52.027895     0.584723
   45.754204     46.947560   -13.905499
   52.670311     12.698890     2.662700
   58.357719    -22.569798    -6.259657
   55.150057    -48.928342   -24.441952
   53.792720    -74.555853   -30.993711
   63.305258    -78.208164   -56.151883
   43.104758    -38.535081   -58.170608
   11.280481      4.758348   -34.706313
  -23.298233     18.073406   -19.040928
  -59.895411     -0.818872   -21.775094
  -88.800491    -39.276510   -26.429231
 -102.751728    -48.665607   -12.065050
  -92.338716    -24.615030    12.707985
  -67.902742     -4.667911    32.455259
  -44.496920     -0.167101    32.679793
  -51.423161     -1.734419    25.575275
  -76.216986     11.342332    13.938503
  -93.362372     22.314339   -10.785675
  -96.505064     34.044927   -19.621753
  -82.803569     60.437255    -5.638551
  -77.736487     65.615044    13.067135
  -62.129834     47.993305    33.679539
  -14.345210     21.384239    41.813949
   43.605022    -15.453846    39.575629
   95.275846    -36.807419    37.032732
  131.343655    -37.786636    31.868976
  141.788891    -36.346137    22.903220
  116.862269    -18.605114    -1.507287
   81.469880      8.920538   -19.127987
   53.173433     14.434608   -17.924496
   24.131918      6.697550   -25.735879
    6.156226      6.244325   -32.197201
   12.682257      3.642436   -30.228113
   28.782937     -6.693132   -27.606734
   26.278242    -19.464787   -27.984075
   22.906858    -25.394661   -39.516117
   28.318797    -17.772208   -35.017386
   12.193949    -13.468385   -15.380560
  -11.332456     -3.124761     3.430376
  -18.627204     24.400371    23.143346
  -29.381694     39.916068     9.736032
  -55.999335     37.273898   -17.267008
  -49.891446     20.243639   -22.120990
   -9.352713    -13.379248   -27.187032
    5.240680    -25.987440   -21.856955
    6.543183      2.942847     3.434275
   -8.177809     38.440226    21.474416
  -44.578781     57.388118    28.011882
  -57.425281     51.201746    29.249936
  -48.581666     31.150416    19.325753
  -30.695892     14.076757    10.607140
   -4.664532    -19.089785     7.731081
    7.740956    -58.541192    -9.066329
   -6.351914    -82.201694   -20.314845
  -18.772995    -84.778634   -13.931486
  -25.051883    -59.076279   -13.464747
  -49.707194    -42.929861   -14.910703
  -51.870929    -31.051923   -16.924490
  -13.820779     10.979803   -15.362109
   14.558829     27.268114     5.533041
   34.905379      7.069954    19.509486
   57.968423     -9.644555    10.871175
   57.767019    -17.497259     4.666871
   41.622160      0.581605     5.473789
   37.610699     31.605721    10.272418
   43.294209     62.207797    18.183594
   41.333697    101.556553    12.283346
   38.563668    128.388334     0.819912
   29.295674    127.846750    -4.310840
    7.527077     98.151905   -10.751371
   -2.145285     56.237643    -2.395286
   -3.708185     23.054468     1.564460
  -14.641730    -15.140954   -19.707253
  -30.487210    -52.240215   -29.602589
  -39.402031    -57.470239   -28.130646
  -48.184574    -32.397826   -17.139668
  -58.527679    -10.981103     5.478987
  -42.721180     -7.810863    15.413825
   -7.273437    -12.260477    10.158072
   14.746980    -19.634227    -4.413751
   20.214013    -16.115493   -15.383679
   17.216851    -13.380807   -20.878258
   13.312459    -30.775934   -15.623545
   25.398559    -39.916587     9.407288
   49.893525    -41.157760    34.460730
   69.217719    -47.169235    38.544697
   82.219366    -39.752085    17.586136
   86.148706    -21.087199    -4.491194
   65.502777     10.598044   -18.781831
   18.301318     41.610726   -24.610352
  -18.888900     36.965944   -14.288817
  -33.996330     13.153674    -9.053335
  -51.188492     -1.994296    -1.444916
  -55.993098     -8.183007    13.243852
  -38.832640     -6.941575     1.462328
  -37.367714     -4.814481   -20.913861
  -65.388951     -7.698856   -22.385025
  -81.409589    -13.670310   -14.122236
  -69.710446    -27.874147    -9.750845
  -52.499832    -51.032046    -9.662747
  -34.167588    -58.188799    -9.557756
  -25.783437    -41.405943    -4.190257
  -32.249956    -20.861626    -0.621366
  -34.520761     -3.178815    -9.119864
  -28.499671      8.450420   -14.436687
  -19.322375     11.060365    -4.931946
   -8.440025      3.498724    14.552072
    6.675460     -7.896623    36.871349
   25.134004    -11.414577    37.828996
   32.964358    -11.835838    27.934958
   28.534235    -10.569457    31.681085
   17.028181    -15.819493    32.975793
    5.671296    -26.743422    33.930321
    2.285098    -25.171946    47.523187
   -0.724277    -13.394320    57.222057
   -3.905432     10.272938    56.743883
    0.019751     40.178543    50.001114
   13.372751     61.297188    26.207816
   21.235849     72.292324     0.941794
   21.374363     58.681266    -9.843621
   31.123129     19.782617   -18.664886
   43.182722     -6.754723   -30.156127
   48.022671    -17.435668   -38.767671
   48.731355    -24.435974   -42.966504
   50.861307    -10.819719   -37.388504
   51.655232     13.246450   -12.806739
   45.369327     41.386452     5.530183
   29.464594     68.344792     3.983914
    6.135176     78.763261    -5.589694
  -13.508406     79.643205   -19.125648
  -29.040475     71.507495   -27.806579
  -39.379422     61.613198   -33.497885
  -48.373765     55.049225   -39.914249
  -69.391317     47.204838   -41.583698
  -89.568947     37.847447   -27.121543
  -85.019020     27.789947    -6.562934
  -63.404271     10.150276     4.902320
  -37.956855    -21.652952    10.461089
  -12.746707    -52.111576    15.554938
   -5.776546    -77.722974    19.881630
  -14.004252    -98.725193    14.399525
   -9.222515   -101.046675    14.042714
   16.660974    -86.450163    19.521960
   41.101107    -67.181323    21.098374
   54.308056    -48.657810    27.167801
   67.772023    -31.281135    20.173732
   70.224483    -13.555444     3.960266
   53.587157      1.148656    -0.875266
   31.204211      3.696231    -0.358370
   10.852983     -0.075884     6.450407
   -9.989152      0.181914    10.842068
  -27.318010     -0.810296    10.025535
  -29.609866     -3.351114    18.105371
  -26.984328     -7.651559    22.542251
  -28.086727    -21.526911    23.015487
  -25.054742    -26.855689    17.260770
  -23.608786    -13.939023    -1.733899
  -26.043574     -0.888779    -7.013560
  -12.578047     13.019058    -3.420761
   11.834539     25.727043    -7.550206
   18.376942     27.834646   -11.057766
   15.641737     21.365788   -12.474616
   12.329604     13.477221    -9.010975
    6.173638      9.006037     0.119024
   11.621959     12.176797     3.343318
   16.626411     28.998115    -2.147624
    6.491468     45.942355    -6.998228
   -8.922097     51.770617    -6.349055
  -26.604128     43.447536     0.908010
  -43.569678     20.848892     0.783789
  -44.015367     -2.996902    -1.875272
  -24.629063    -16.396420     0.509359
   -1.131764    -14.810650   -15.745428
   18.192170    -12.941615   -29.793859
   33.490089    -14.533101   -21.093177
   44.563708    -14.958520    -8.861286
   46.237836    -19.725184     2.458177
   35.312866    -16.093143    12.712403
    9.706406     -6.154927    23.034458
  -16.703594     -7.270579    29.732268
  -13.075192    -13.799729    27.728616
    3.738850    -10.780218     8.795537
    9.914048     -4.864118   -14.024002
   18.067429      1.350581   -12.797643
   30.461483     20.778725   -10.280734
   38.236743     39.407229   -21.750925
   32.058687     47.258632   -26.339314
   18.463481     51.274252   -20.545616
   13.911476     46.042928   -12.442651
   18.702308     26.429231    -5.865164
   18.303397      4.866717   -12.582465
    3.905432    -11.371178   -22.834352
   -7.433782    -24.960666   -16.545329
   -5.752377    -28.584911   -11.743322
   -9.338420    -24.507441   -10.619354
  -20.302891    -22.384765    -6.475355
  -28.494733    -31.642883    -2.061084
  -32.385352    -44.716256     0.077963
  -28.834912    -45.537207   -10.879491
  -29.534761    -38.551973   -10.456671
  -37.860960    -28.431583     2.954801
  -40.809785    -17.597831     8.691326
  -37.465168     -5.776806    21.741310
  -29.333097      6.331123    25.889207
  -24.280828     13.610018    15.967363
  -25.234057     12.162244    14.793238
  -24.753804      4.418429     5.161677
  -24.170900      1.824596    -7.373750
  -17.473090      0.702448    -2.159058
   -1.792372     -6.001340     6.190270
   11.114939    -14.289857    11.748000
   22.228319    -20.028720    12.835585
   32.634054    -17.157080     3.631261
   32.299852     -7.624012    -2.530422
   24.734573      0.827968     2.939729
   21.333563      6.301238     2.087332
   22.312779      7.857381   -10.420288
   28.867657      5.975352   -22.536014
   40.973507      3.727936   -25.276417
   47.701723     -3.780171   -11.433548
   49.641185    -16.206190     4.938962
   50.010470    -20.301331    13.606640
   41.112801    -15.988413    11.378974
   22.554465     -6.487569    -2.718573
    3.458963      8.205616    -5.089691
   -7.853223     17.282600     6.789027
  -12.029706     19.234796    14.788820
  -11.741503     17.958540    17.891752
   -5.273424     15.156546    17.398765
   -1.620593     16.763886    21.040941
  -12.752944     18.096275    37.813663
  -23.450001     12.398212    48.250843
  -26.254594     -1.239353    38.801455
  -31.370272    -16.470485    20.417237
  -28.894424    -28.582832     3.679339
  -20.845254    -41.158800     0.313931
  -12.670563    -48.373505    -1.072512
    1.530416    -48.026829   -11.790879
    8.913521    -41.225328   -12.490468
    8.187685    -30.508520    -2.641130
   10.991238    -17.567165     9.528390
   12.132098      4.807984    19.017279
    4.036929     24.535507    10.427305
  -11.446802     33.205784    -4.678306
  -20.610845     36.165523   -14.903426
  -18.288844     32.490862   -23.014447
  -17.353547     30.433416   -15.841062
  -18.096275     26.271746    -6.513557
  -15.145112     15.453586   -14.764132
  -11.959280     10.967069   -30.996309
  -10.191596      7.290849   -44.711578
  -11.117798     -0.346676   -43.009903
  -13.338447      1.720386   -27.736412
  -10.947838     12.045299   -19.040928
   -4.220922     20.180489   -16.695278
    1.167108     26.970555   -17.334316
    6.566572     28.694579   -20.615523
   14.197340     24.702088   -12.944213
   19.954655     26.899089    -6.181174
   17.424493     30.263716    -5.435587
    6.984454     26.408701     2.699083
   -3.065249     17.058586     5.107623
   -9.726936      0.345117     4.375289
  -11.237861    -19.700756     7.699636
   -9.335561    -35.657203     7.963931
  -11.325700    -40.662175    10.069714
  -18.004279    -41.116699    13.873014
  -21.577327    -43.735740     8.597771
  -18.258178    -39.295481     0.165022
  -13.671089    -30.242666     2.363062
  -11.217591    -20.290676     1.955315
  -13.156013    -10.114413    -1.184259
   -8.953282     -5.141147     0.346416
   10.647161     -4.925449    -8.121936
   31.936544     -3.237548   -10.413531
   45.653112      6.955608    -0.087579
   47.696265     17.033638    -1.436600
   38.832381     16.818460    -1.003905
   32.921478     16.104838     6.196247
   31.387944     21.490529     8.950164
   27.776953     22.985081    13.863658
   24.787328     19.105897     9.371684
   20.711157     14.832740     4.690000
   16.465547      9.920285    14.309347
   14.536740      5.233923    16.328852
   14.295574     -3.462081    10.326992
   15.762580     -9.508120     3.735992
    8.261490     -2.535360    -3.381779
   -6.542923     12.264895     8.581918
  -14.025302     27.336722    27.072946
  -15.941375     33.576368    28.053202
  -13.462668     31.121570    28.451854
   -1.881509     28.371552    23.039395
    3.117744     15.627703     5.856068
   -5.909083     -8.076198    -7.505768
   -9.575688    -24.155047   -20.977012
  -11.950444    -31.736959   -27.774094
  -17.490242    -35.023883   -24.439613
   -9.252661    -34.465148   -19.965570
   -3.785888    -25.750952   -15.061172
  -12.146131    -15.167201    -8.910663
  -16.403696    -15.779472    -0.354732
  -13.658875    -14.799216     0.695691
   -4.522639    -10.562181    -0.419701
    6.670523     -8.022403     7.657016
   15.035704     -8.648447    11.630535
   17.848352    -10.833492    11.630795
   11.682771     -2.682450     7.374010
   -3.357091      6.348275    -7.472503
  -24.897256     11.512551   -17.087433
  -39.222456     17.839517   -16.724904
  -41.562129     21.995470   -17.151622
  -37.548588     23.347610   -16.167468
  -31.707333     22.986640    -8.529943
  -23.618921     20.806272     2.766131
  -11.048931     16.104578    14.005551
   -5.034597     13.625091    21.395414
   -5.317603     13.120150    20.432049
   -1.628129     15.909930     7.670530
    1.698296     18.954909    -8.494340
    1.128126     12.212140   -16.461909
   -1.514303     -2.411659   -17.339253
   -4.135423    -19.445037   -11.835838
   -5.208455    -25.762127    -7.547348
   -6.635699    -21.925043    -9.617268
   -4.575914    -21.451807   -11.606107
    2.145025    -22.020158    -8.209514
    5.885954    -17.141747     4.317077
    6.178316     -5.225867     9.872727
   12.038802      3.235988     6.766677
   26.574242      8.161437     7.823857
   39.746368     14.252694     7.164809
   46.009923     11.246177     9.510459
   49.267222      3.452726     9.625324
   49.142221     -4.011721     6.748486
   43.558504    -12.428358    14.426032
   39.191271    -21.724938    18.805999
   36.320410    -30.486171    10.497991
   25.449495    -34.651479    -0.936857
   10.196014    -31.997875   -10.628450
   -3.202204    -17.486344   -15.547401
  -16.617315     -6.152588    -9.990192
  -30.277750     -4.411932     0.080562
