STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.004678     -0.029886    -0.005198
   -0.022869     -0.035343     0.022090
    0.014553     -0.010655     0.009096
    0.043919      0.002339    -0.003119
    0.007017     -0.015593    -0.017412
    0.002599     -0.021050     0.001040
    0.005457     -0.007796     0.008836
   -0.016892     -0.016632     0.000260
   -0.003898     -0.003638     0.008056
    0.022869     -0.002079    -0.007796
    0.048337     -0.022609    -0.012474
    0.022609     -0.007796    -0.016892
   -0.008576     -0.010395    -0.005198
   -0.004418     -0.023909     0.011175
   -0.012214     -0.024948     0.023129
    0.009615     -0.022869     0.028327
    0.030406     -0.000260    -0.006497
    0.024688      0.008316    -0.031705
    0.008836     -0.021570    -0.031705
   -0.005457     -0.028067     0.003119
   -0.009615     -0.011694     0.015333
    0.008576     -0.005977     0.006757
    0.028327      0.005717     0.006237
    0.014293     -0.008576    -0.005457
    0.010395     -0.024428     0.004938
    0.015333     -0.025728    -0.005198
    0.001819     -0.023649     0.003898
   -0.008836     -0.003119     0.016112
    0.008836     -0.001559    -0.012994
    0.027287     -0.014293    -0.022090
    0.022609     -0.004938    -0.020530
   -0.001559     -0.014293     0.014293
   -0.001040     -0.037162     0.033004
    0.021310     -0.014553     0.008056
   -0.003898     -0.013773    -0.005198
   -0.003378     -0.007796    -0.022609
    0.026248      0.008316    -0.032745
    0.023649     -0.011954    -0.004938
    0.025988     -0.005977     0.030665
   -0.001559     -0.031445     0.029366
   -0.016632     -0.034304     0.010135
    0.021570     -0.005457    -0.021570
    0.024169     -0.003638    -0.029106
    0.018971      0.008576    -0.028327
   -0.003119     -0.020790    -0.011175
   -0.020790     -0.015852     0.051975
    0.027287     -0.009096     0.033004
    0.017152     -0.028586    -0.010915
   -0.009356      0.001559    -0.016112
    0.012474     -0.015333    -0.024948
    0.015593     -0.024948    -0.018451
    0.011954     -0.008316     0.000000
    0.005977     -0.014033     0.026507
    0.025468      0.000520     0.015073
    0.012994     -0.017152    -0.011954
   -0.015073     -0.018451    -0.025468
    0.026507     -0.015073    -0.019491
    0.018191     -0.038202     0.012994
   -0.031185     -0.001559     0.033524
   -0.012734      0.009875     0.031705
    0.037422     -0.003638    -0.018451
    0.043919     -0.009096    -0.053275
    0.018191     -0.030665    -0.018971
    0.010395     -0.035863     0.015333
   -0.000520     -0.025208     0.040541
   -0.009615      0.013514     0.016112
   -0.002599     -0.001559    -0.037942
    0.022090     -0.018711    -0.024428
    0.016892      0.004418    -0.002599
    0.015073     -0.031185     0.017412
    0.000780     -0.020270     0.024428
   -0.024169     -0.010395    -0.009356
    0.030406     -0.028067    -0.007796
    0.034304      0.002859    -0.007017
    0.024169      0.002079    -0.016632
    0.011435     -0.005198    -0.001559
   -0.004938     -0.024428     0.000260
    0.000260     -0.022349     0.017932
   -0.021830     -0.017152     0.027547
   -0.007277     -0.038982    -0.003898
    0.010915      0.018451    -0.017672
    0.058472      0.027287    -0.025728
    0.050936     -0.029366    -0.014033
   -0.001819     -0.031705     0.027287
   -0.029886     -0.026767     0.033784
   -0.050676     -0.019491    -0.001299
    0.021830     -0.001040    -0.029366
    0.070687     -0.004678    -0.044699
    0.032225     -0.010135    -0.027807
   -0.004678     -0.007796     0.025468
   -0.011435     -0.009615     0.038982
   -0.001040     -0.011954     0.021050
   -0.002079     -0.032225     0.020011
    0.003638     -0.016112     0.010395
    0.047817      0.012994    -0.048597
    0.032485      0.001040    -0.054054
   -0.012734     -0.016632    -0.018191
   -0.004158     -0.037682    -0.008576
   -0.017412     -0.028846     0.063670
    0.009615     -0.012994     0.062630
    0.038982     -0.001819    -0.019751
    0.013773      0.006757    -0.042620
    0.016632     -0.029366    -0.039761
    0.010395     -0.018451     0.008836
   -0.014033      0.015852     0.042880
   -0.001299     -0.003119     0.020270
    0.013514     -0.026507    -0.011954
    0.020011     -0.023389    -0.016632
    0.055354     -0.010915    -0.005977
    0.014293     -0.025988    -0.037942
   -0.050936     -0.014293    -0.017412
   -0.021830     -0.015593     0.034044
    0.018451     -0.008056     0.044699
    0.053015      0.012474     0.026507
    0.031965     -0.007277    -0.039501
   -0.015593     -0.030406    -0.050936
   -0.020270     -0.049896     0.000000
    0.010135      0.030925     0.053015
    0.060291      0.033784     0.004678
    0.015852     -0.042360    -0.063670
   -0.023909     -0.031965     0.005457
    0.017672     -0.021570     0.016372
    0.008576     -0.007536     0.003638
   -0.009615     -0.012474     0.014553
    0.005717      0.005457    -0.020790
    0.008576     -0.022090     0.008836
    0.004418     -0.017672     0.019751
    0.024948      0.028067    -0.017672
    0.035083     -0.044179    -0.032225
   -0.003898     -0.034824    -0.016112
   -0.008056     -0.000260     0.013773
    0.004158     -0.022349     0.022090
    0.000260     -0.005457     0.037682
    0.025988      0.008056     0.007277
    0.040281      0.003378    -0.024169
    0.008056     -0.017152    -0.014033
   -0.029106     -0.017152    -0.033784
    0.005977     -0.017672    -0.010915
    0.011954     -0.019491     0.031445
    0.000000     -0.010915     0.023129
    0.053795     -0.031185    -0.014033
    0.012214     -0.007796    -0.022090
   -0.024688     -0.006497     0.003119
    0.011694     -0.019231     0.005717
    0.007536      0.002859     0.012994
    0.009356     -0.028067     0.014813
   -0.001040      0.001299    -0.001819
    0.014553      0.007536    -0.025208
    0.042100     -0.015852    -0.033524
   -0.003898     -0.019231    -0.000260
   -0.002079     -0.030406     0.023129
    0.005717     -0.004678     0.008836
   -0.021310     -0.042100     0.021570
    0.047817      0.021050    -0.004158
    0.033264      0.005198    -0.047298
   -0.037162     -0.064190     0.024688
    0.020790      0.044699     0.025728
    0.028327     -0.002859    -0.024428
   -0.002079     -0.028327    -0.007796
    0.009096     -0.021310     0.002339
    0.022609     -0.035343    -0.004418
   -0.002599     -0.016112    -0.015333
   -0.032485     -0.041061     0.035083
    0.034044      0.055874     0.008836
    0.044959     -0.003378    -0.030665
   -0.013773     -0.039501     0.028327
    0.012994      0.021830    -0.011175
    0.011694     -0.037942    -0.043140
   -0.023649     -0.039501    -0.009356
    0.038462     -0.029366     0.014033
    0.032745      0.034044     0.034564
   -0.027027     -0.023389     0.012734
    0.010135     -0.037682    -0.003638
    0.003119      0.034044    -0.008056
   -0.000260     -0.032225    -0.027287
    0.032745     -0.037942    -0.018451
    0.041580      0.011954     0.022349
    0.006757      0.008316     0.002859
   -0.036383     -0.052495     0.008836
    0.016892      0.034044     0.029626
    0.017412     -0.017412    -0.051196
   -0.000260     -0.073025    -0.005457
    0.033524      0.034304     0.035863
    0.026767     -0.009615    -0.023649
   -0.004418     -0.004938    -0.017672
   -0.029626     -0.050416     0.027027
    0.029106      0.025988     0.046778
    0.037682     -0.003378    -0.068608
   -0.023129     -0.092776    -0.019231
    0.013773      0.075624     0.047557
    0.031965     -0.021570    -0.049117
   -0.014553     -0.043919     0.032745
   -0.005717      0.016112     0.019491
    0.014553     -0.017412    -0.032225
    0.002339     -0.018451     0.023909
    0.031965     -0.054574     0.005457
    0.051456      0.041580    -0.018191
   -0.010395     -0.020011    -0.032225
   -0.036903     -0.058992     0.006757
    0.004938      0.047298     0.033004
